Municipalidad;Grupo Vehiculo;Placa;Digito;Codigo SII;Ano Vehiculo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Ano Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmision;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Calbuco;Vehiculo Liviano;FBCH-75;0;CT176030913;2013;5974179;Presencial;98293;3050;12821;114164;Total;02-01-2024;2023;CAMIONETA;NISSAN;TERRANO;ROJO;Mec;Dies;2500;Equi;4
Calbuco;Vehiculo Liviano;FBCH-75;0;CT176030913;2013;6064560;Presencial;137321;14623;34072;186016;Total;02-01-2024;2022;CAMIONETA;NISSAN;TERRANO;ROJO;Mec;Dies;2500;Equi;4
Calbuco;Vehiculo Liviano;RL-8230;1;CT050008698;1998;973121;Presencial;17203;360;1200;18763;2da. Cuota;02-01-2024;2023;CAMIONETA;CHEVROLET;LUV;ROJO BURDEO;Mec;Benc;2300;Equi;4
Calbuco;Vehiculo Liviano;LA-7982;7;CT050003194;1994;747863;Presencial;36832;1143;4804;42779;Total;02-01-2024;2023;CAMIONETA;CHEVROLET;LUV 4WD D/C;ROJO;Mec;Benc;2300;Norm;4
Calbuco;Vehiculo Liviano;LA-7982;7;CT050003194;1994;755417;Presencial;42177;4491;10465;57133;Total;02-01-2024;2022;CAMIONETA;CHEVROLET;LUV 4WD D/C;ROJO;Mec;Benc;2300;Norm;4
Calbuco;Vehiculo Liviano;PB-7938;5;CT176003396;1996;937081;Presencial;36832;1143;4804;42779;Total;03-01-2024;2023;CAMIONETA;NISSAN;D/C;VERDE METALICO;Mec;Benc;2400;Norm;4
Calbuco;Vehiculo Liviano;PB-7938;5;CT176003396;1996;946546;Presencial;42177;4491;10465;57133;Total;03-01-2024;2022;CAMIONETA;NISSAN;D/C;VERDE METALICO;Mec;Benc;2400;Norm;4
Calbuco;Carga;PA-2784;4;NULL;1996;3;Presencial;205813;3807;11650;221270;Total;03-01-2024;2023;CAMION;MERCEDES BENZ;2538-45;ROJO;MEC;DIES;NULL;NORM;2
Calbuco;Carga;PA-2784;4;NULL;1996;3;Presencial;240760;15376;46599;302735;Total;03-01-2024;2022;CAMION;MERCEDES BENZ;2538-45;ROJO;MEC;DIES;NULL;NORM;2
Calbuco;Vehiculo Liviano;GTWC-45;2;HB095000212;2012;2676591;Presencial;36832;1143;4804;42779;Total;03-01-2024;2023;AUTOMOVIL;HAIMA;HAIMA3;BLANCO DIAMANTE;Mec;Benc;1600;Full;4
Calbuco;Transporte Publico;FRTC-43;2;NULL;2013;1;Presencial;72480;1640;7766;81886;Total;04-01-2024;2023;BUS;VOLARE;W9 FLY;BLANCO AZUL VERDE;MEC;DIES;NULL;NULL;0
Calbuco;Vehiculo Liviano;ZS-3091;9;SD050017206;2006;1468694;Presencial;36832;1143;4804;42779;Total;04-01-2024;2023;AUTOMOVIL;CHEVROLET;CORSA EXTRA ML 1.6 PWR CD;PLATA POLARIS;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;ZS-3091;9;SD050017206;2006;1483529;Presencial;42177;4491;10465;57133;Total;04-01-2024;2022;AUTOMOVIL;CHEVROLET;CORSA EXTRA ML 1.6 PWR CD;PLATA POLARIS;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;ZS-3091;9;SD050017206;2006;1529411;Presencial;48264;6474;16301;71039;Total;04-01-2024;2021;AUTOMOVIL;CHEVROLET;CORSA EXTRA ML 1.6 PWR CD;PLATA POLARIS;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;ZS-3091;9;SD050017206;2006;1630000;Presencial;52461;7054;20570;80085;Total;04-01-2024;2020;AUTOMOVIL;CHEVROLET;CORSA EXTRA ML 1.6 PWR CD;PLATA POLARIS;Mec;Benc;1600;Equi;4
Calbuco;Vehiculo Liviano;DJFX-52;2;CO184009512;2012;3309300;Presencial;39465;1224;5148;45837;Total;04-01-2024;2023;FURGON;PEUGEOT;PARTNER;BLANCO BANQUISE;Mec;Dies;1600;Norm;4
Calbuco;Vehiculo Liviano;DJFX-52;2;CO184009512;2012;3537910;Presencial;59023;6285;14645;79953;Total;04-01-2024;2022;FURGON;PEUGEOT;PARTNER;BLANCO BANQUISE;Mec;Dies;1600;Norm;4
Calbuco;Vehiculo Liviano;FTBL-78;2;SU111011113;2013;7020708;Presencial;123254;3824;16077;143155;Total;05-01-2024;2023;STATION WAGON;HYUNDAI;SANTA FE;BLANCO PERLA;Mec;Benc;2400;Full;4
Calbuco;Vehiculo Liviano;LFLF-33;2;SU079008619;2019;23742194;Presencial;815801;25311;106409;947521;Total;05-01-2024;2023;STATION WAGON;FORD;EXPLORER;ROJO BURDEO;Aut;Benc;2300;NULL;4
Calbuco;Vehiculo Liviano;LFLF-33;2;SU079008619;2019;23967912;Presencial;537665;39301;109247;686213;2da. Cuota;05-01-2024;2022;STATION WAGON;FORD;EXPLORER;ROJO BURDEO;Aut;Benc;2300;NULL;4
Calbuco;Vehiculo Liviano;GHTG-26;3;SU047000214;2014;2389732;Presencial;17203;360;1200;18763;2da. Cuota;05-01-2024;2023;AUTOMOVIL;CHANGAN;CS1;GRIS ARENA;Mec;Benc;1300;Full;4
Calbuco;Vehiculo Liviano;PYKP-87;6;SU132021821;2021;15163585;Presencial;191456;4004;13357;208817;2da. Cuota;05-01-2024;2023;STATION WAGON;KIA MOTORS;SELTOS;BLANCO INVIERNO;Aut;Benc;1600;NULL;5
